country,year,population,gdp,co2,co2_growth_abs,gdp_per_capita,real_co2,gdp_per_capita_over_co2,gdp_over_co2,co2_over_gdp_per_capita,co2_over_gdp,co2_over_population,co2_over_gdp_over_population
Philippines,2022,115559008,1063558311016,150.396,7.642,9203.595024076358,150396000.0,61.1957433979385,7071719400.888322,16341.005835933469,0.1414083256576023,1.3014649623852776,1.223689335041733e-09
South Africa,1950,13043843,54940790784,61.031,0.445,4212.009511614024,61031000.0,69.01426343356694,900211216.988088,14489.758352091942,1.1108504105800678,4.678912495343589,8.516281670824064e-08
South Africa,1951,13325058,57515675648,65.142,4.111,4316.354619094341,65141999.99999999,66.26070153041572,882927691.0134783,15091.901789493866,1.132595579658555,4.8886841618250365,8.499742212443315e-08
South Africa,1952,13622914,59556102144,70.883,5.741,4371.759385987462,70883000.0,61.675710480474336,840202899.7644006,16213.838352402701,1.1901887035624465,5.203218635895374,8.736667526216832e-08
South Africa,1953,13933250,62355161088,70.996,0.113,4475.277561803599,70996000.0,63.03562963834018,878291186.6584034,15864.043965887027,1.1385745584043225,5.095437173667307,8.171636613168662e-08
South Africa,1954,14255876,66022801408,73.898,2.902,4631.269338201314,73898000.0,62.671105282975375,893431505.6970419,15956.31663882032,1.1192799824311266,5.183687063495783,7.851358853227446e-08
South Africa,1955,14594134,69327536128,82.936,9.038,4750.369986187601,82936000.0,57.2775391408749,835916081.4121732,17458.850624508956,1.1962923339273817,5.6828311977949495,8.197076537240111e-08
South Africa,1956,14948935,73183059968,87.263,4.327,4895.536703316992,87263000.0,56.100944309925076,838649369.9276898,17825.011901325255,1.1923934314601847,5.8374058085074285,7.976444017317519e-08
South Africa,1957,15320140,75976884224,89.652,2.389,4959.2813266719495,89652000.0,55.31701832275855,847464465.0872262,18077.619335252195,1.1799904788893703,5.851904747606745,7.702217335411884e-08
South Africa,1958,15700877,77574438912,96.253,6.602,4940.771073615824,96253000.0,51.33108654915508,805943076.1846384,19481.372151403644,1.2407824194408787,6.13042188662455,7.90263129531477e-08
South Africa,1959,16096459,81038573568,94.473,-1.78,5034.559064698639,94473000.0,53.29098329362505,857796127.6555207,18764.900517788443,1.1657781700800434,5.869179053604274,7.242451088652748e-08
South Africa,1960,16520438,84418519040,97.844,3.371,5109.944363460581,97844000.0,52.22542377111097,862786875.4343649,19147.762292608917,1.1590347842235733,5.922603262697999,7.015763045892447e-08
South Africa,1961,16989468,88081186816,102.12,4.276,5184.458207637814,102120000.0,50.76829423852148,862526310.3799452,19697.333050067882,1.1593849230633873,6.010782680187514,6.824139066999551e-08
South Africa,1962,17503138,93013180416,105.67,3.55,5314.085989380876,105670000.0,50.289448181895295,880223151.4715624,19884.887111567274,1.1360755489425538,6.0372031575138125,6.490696405082071e-08
South Africa,1963,18042222,99827408896,109.725,4.055,5532.988613930147,109725000.0,50.42596139375846,909796390.0296196,19831.054725786078,1.0991470299936492,6.081568001989999,6.092082394250825e-08
South Africa,1964,18603100,106518454272,119.546,9.821,5725.844309389296,119546000.0,47.89657796487791,891024829.5384203,20878.318295166933,1.122303180392888,6.4261332788621255,6.032882586197397e-08
South Africa,1965,19187198,112882728960,128.14,8.594,5883.231567214765,128139999.99999999,45.91252978940819,880932799.7502732,21780.54671756936,1.1351603666970738,6.678411303203312,5.916238351723236e-08
South Africa,1966,19789772,117778087936,128.235,0.095,5951.462600781859,128235000.00000001,46.410594617552604,918455085.8657932,21546.804307088052,1.0887848686224406,6.479862425903645,5.501755495831082e-08
South Africa,1967,20410682,125836943360,133.76,5.525,6165.249321899189,133759999.99999999,46.091875911327676,940766622.0095694,21695.797366195657,1.062962882190593,6.553431188629561,5.207875377170606e-08
South Africa,1968,21050540,131293347840,137.954,4.194,6237.053673682481,137954000.0,45.21111148413587,951718310.7412615,22118.456440755497,1.0507310710677966,6.553466086855729,4.991468489966512e-08
South Africa,1969,21704214,139369758720,143.143,5.189,6421.322546856569,143143000.0,44.85949398054092,973640057.285372,22291.825236231565,1.0270736012938115,6.595170873269127,4.7321391195912996e-08
South Africa,1970,22368306,146627018752,149.618,6.475,6555.123966562332,149618000.0,43.81240202757911,980009215.14791,22824.587416378545,1.0203985682410883,6.688839110123046,4.561805298269294e-08
South Africa,1971,23031448,153821282304,168.403,18.785,6678.749955452215,168403000.0,39.65932884480808,913411770.0040973,25214.748436947215,1.0947964903008796,7.3118720108262405,4.753485279348826e-08
South Africa,1972,23698512,156779560960,171.554,3.15,6615.586706878474,171554000.0,38.56270740920336,913878784.2894949,25931.789212531803,1.094237022667575,7.23901990133389,4.617323748712894e-08
South Africa,1973,24382514,163375546368,173.352,1.799,6700.520970397064,173352000.0,38.65268915499714,942449734.4593658,25871.421157529396,1.061064546401138,7.109685244105673,4.3517438210068816e-08
South Africa,1974,25077016,172551372800,176.544,3.192,6880.8574672520845,176544000.0,38.97531191800392,977384520.572775,25657.267403113932,1.0231387738921542,7.040072072370971,4.079986127106009e-08
South Africa,1975,25777966,175749496832,185.001,8.457,6817.81862975535,185001000.0,36.85287446962638,949992145.0802969,27134.9254133266,1.052640282531469,7.1767105286739845,4.0834885208998605e-08
South Africa,1976,26480298,180034633728,192.905,7.904,6798.814489474401,192905000.0,35.24436634340427,933281323.5945154,28373.328952958826,1.0714882798131211,7.284850042095448,4.046360353698139e-08
South Africa,1977,27199844,179681542144,199.735,6.83,6605.976936632431,199735000.0,33.0737073453948,899599680.2963927,30235.497628276633,1.111605552894959,7.343240645056641,4.0868085599864435e-08
South Africa,1978,27943454,185013862400,201.876,2.141,6621.009070675372,201876000.0,32.7974056880232,916472797.1626147,30490.2164979828,1.0911398604475597,7.224446913398752,3.9048138445861406e-08
South Africa,1979,28697016,192300236800,218.667,16.791,6701.053405692076,218667000.0,30.645014591557374,879420474.0541553,32631.735155887236,1.1371124843045435,7.619851485603939,3.962476392334811e-08
South Africa,1980,29463546,204702613504,228.198,9.531,6947.6570642243805,228198000.0,30.44574038433457,897039472.3178993,32845.317189741785,1.1147781461790711,7.745096262343982,3.7835844544274174e-08
South Africa,1981,30232564,215434543104,257.075,28.877,7125.910429032748,257075000.0,27.719188676583673,838022145.6928912,36076.091968909954,1.1932858876577572,8.503248351678012,3.9470217863683585e-08
South Africa,1982,31022418,214585933824,280.433,23.358,6917.124700724489,280433000.0,24.665872777898784,765195015.6507971,40541.845366851325,1.3068563954895884,9.039688653540804,4.2126193886291794e-08
South Africa,1983,31865176,210671517696,291.902,11.469,6611.340156916127,291902000.0,22.64917731607227,721720021.4318504,44151.714035563746,1.3855788537167895,9.160533116151626,4.3482541998725804e-08
South Africa,1984,32768206,221387587584,315.593,23.691,6756.170526515855,315593000.0,21.40785925706798,701497142.1546105,46711.81681418434,1.425522557267381,9.63107348629339,4.3503222522080735e-08
South Africa,1985,33752964,218712375296,323.861,8.268,6479.797605211797,323861000.0,20.007958986144665,675327919.3728174,49980.11044967111,1.4807621176519818,9.595038823849663,4.3870580303761825e-08
South Africa,1986,34877840,218892222464,330.497,6.636,6275.968421897686,330497000.0,18.989486808950417,662312282.6046833,52660.71748335319,1.5098617770869178,9.47584483442782,4.329000239369519e-08
South Africa,1987,36119328,223307087872,328.665,-1.832,6182.4817967820445,328665000.0,18.810891931851717,679436775.6591058,53160.690286394165,1.4718072907224125,9.099421783262413,4.074846826392818e-08
South Africa,1988,37393848,232506867712,342.655,13.99,6217.783944353628,342655000.0,18.145901692237462,678545089.7024704,55108.86242857717,1.4737414140576592,9.163405702456725,3.941133349147858e-08
South Africa,1989,38668684,237353615360,340.711,-1.944,6138.1353283189055,340711000.0,18.01566526563247,696642067.206518,55507.24801196472,1.4354573848948344,8.811031686519252,3.7121961142893675e-08
South Africa,1990,39877568,235128504320,312.93,-27.781,5896.259880241443,312930000.0,18.842104880457107,751377318.6335602,53072.626776278725,1.330889255239405,7.847268920712517,3.337438369459755e-08
South Africa,1991,40910964,237173669888,326.027,13.096,5797.313157617112,326027000.0,17.781696477951556,727466344.468403,56237.603720204745,1.3746340399166528,7.969184006517177,3.360062695947846e-08
South Africa,1992,41760756,236546768896,301.325,-24.701,5664.331577139073,301325000.0,18.798080402021316,785022048.9371941,53196.92110118181,1.2738495706634674,7.215506347634128,3.0503508381492597e-08
South Africa,1993,42525444,244041351168,320.345,19.02,5738.713772582833,320345000.0,17.91416682820969,761807898.2596887,55821.742065351646,1.3126668839801332,7.533019525910182,3.086779961615764e-08
South Africa,1994,43267980,256732102656,338.698,18.352,5933.535669009739,338698000.0,17.518661666173816,757997102.5987754,57081.986001868274,1.3192662565219884,7.827913389994171,3.0490590420953054e-08
South Africa,1995,43986088,269822885888,361.694,22.996,6134.277862764245,361694000.0,16.95985518909422,745997682.814755,58962.76759739287,1.3404867374746505,8.222918119019814,3.047524338774229e-08
South Africa,1996,44661608,286805360640,363.732,2.039,6421.742823052856,363732000.0,17.65514945908761,788507364.323183,56640.698642472904,1.2682189732728142,8.144176089674156,2.8396178061318666e-08
South Africa,1997,45285052,300044517376,385.223,21.49,6625.685609812263,385223000.0,17.199610640621827,778885262.2403127,58140.85102823272,1.283886149191851,8.506625983337726,2.8351212872447425e-08
South Africa,1998,45852172,307359744000,377.262,-7.96,6703.275561297292,377262000.0,17.768223572205237,814711643.367209,56280.246358690354,1.22742814361532,8.227789078345078,2.6769247564004603e-08
South Africa,1999,46364680,320626884608,374.891,-2.371,6915.326162242465,374891000.0,18.446231470594025,855253619.3400215,54211.615071303066,1.1692438095400002,8.08570230615201,2.5218416465723482e-08
South Africa,2000,46813272,340328906752,378.307,3.416,7269.923511264071,378307000.0,19.21699442850402,899610387.2040433,52037.27376413912,1.1115923228809796,8.081191163053075,2.3745238804947872e-08
South Africa,2001,47229712,356322443264,371.624,-6.683,7544.4551358687095,371624000.0,20.301312982661802,958825165.3929778,49257.89779479008,1.042943005767007,7.8684367162772455,2.2082349470329335e-08
South Africa,2002,47661516,376468996096,356.523,-15.101,7898.804479823932,356523000.0,22.155104943647203,1055945888.7533202,45136.324226112134,0.9470182238037107,7.480311788655652,1.9869662219802466e-08
South Africa,2003,48104044,394999857152,404.41,47.887,8211.364873023982,404410000.0,20.304554469533347,976731181.6028287,49250.034099516124,1.0238231550660508,8.406985491697954,2.128351527090011e-08
South Africa,2004,48556064,420863967232,449.307,44.897,8667.588197264095,449307000.0,19.29101526854488,936695772.0044423,51837.60346872764,1.0675824850368358,9.25336534691115,2.1986594404291827e-08
South Africa,2005,49017156,451561291776,416.201,-33.106,9212.311129923572,416201000.0,22.134283987601112,1084959651.168546,45178.78240652223,0.9216932619779538,8.490925095695067,1.880348304944403e-08
South Africa,2006,49491764,485980667904,446.77,30.569,9819.42506442082,446770000.0,21.978702832376438,1087764773.606106,45498.59050493725,0.9193164039361632,9.027158538943974,1.8575139167320106e-08
South Africa,2007,49996096,521805725696,465.045,18.275,10436.929429369846,465045000.0,22.44283763801319,1122054265.0625207,44557.645344554,0.891222493543376,9.301626270979238,1.782584171258844e-08
South Africa,2008,50565816,548744658944,495.171,30.126,10852.087484240341,495171000.0,21.915838133170848,1108192238.5277007,45629.10137972064,0.9023705140983117,9.792603762193812,1.784546528623827e-08
South Africa,2009,51170780,550669123584,480.572,-14.598,10761.397883401425,480572000.0,22.392894058333454,1145861855.4222884,44657.02366987499,0.8727055493364569,9.391531651462026,1.705476346728459e-08
South Africa,2010,51784928,578235138048,463.0,-17.573,11166.089446875354,463000000.0,24.116823859342016,1248887987.1447084,41464.82993914784,0.800712321916289,8.940825407732536,1.5462265814413975e-08
South Africa,2011,52443320,608683556864,465.908,2.908,11606.503113532857,465908000.0,24.911577207373252,1306445815.1909819,40141.9786340956,0.7654354955806687,8.884029462665598,1.459548128495047e-08
South Africa,2012,53145036,622114308096,458.954,-6.954,11705.972089208859,458954000.0,25.505763299173466,1355504708.7420526,39206.82507205757,0.7377325903412233,8.635877111834114,1.3881495730687308e-08
South Africa,2013,53873608,637619470336,458.628,-0.326,11835.469982556207,458628000.0,25.80625252395451,1390275932.4245358,38750.298946805844,0.7192816740027109,8.513036661661866,1.3351280909248012e-08
South Africa,2014,54729556,648455192576,471.866,13.238,11848.35470940053,471866000.0,25.10957498400082,1374235890.2230718,39825.44509961537,0.7276771092317169,8.621776504088578,1.329587086786739e-08
South Africa,2015,55876504,656850354176,446.221,-25.645,11755.394614093966,446221000.0,26.344332996640603,1472029228.0641208,37958.82781042583,0.6793343372095331,7.98584320880204,1.215778168959055e-08
South Africa,2016,56422272,658694340608,456.973,10.752,11674.367537131437,456973000.0,25.547171358332847,1441429451.2104654,39143.2768024952,0.6937557708150286,8.099159849500566,1.229577870978022e-08
South Africa,2017,56641208,668014870528,439.38,-17.593,11793.796321010668,439380000.0,26.84190523239717,1520357937.3844965,37255.179591090935,0.6577398488939525,7.75724981006761,1.1612390909705749e-08
South Africa,2018,57339632,673272168448,435.237,-4.143,11741.829254293087,435237000.0,26.97801256394352,1546909312.5078979,37067.222710709,0.646450307018172,7.590509126392719,1.1274057479444094e-08
South Africa,2019,58087060,646806017907,465.429,30.192,11135.113705307172,465429000.0,23.92440889009317,1389698574.6633751,41798.31587872957,0.7195805034499864,8.012610726037778,1.2387965640712173e-08
South Africa,2020,58801928,562013953837,434.829,-30.601,9557.747049331443,434829000.0,21.98047289700421,1292494184.6955929,45494.92655075193,0.773697871790053,7.394808551175397,1.315769564205536e-08
South Africa,2021,59392256,697954708969,425.628,-9.201,11751.61133749491,425628000.0,27.61005229330521,1639823293.97737,36218.69272020454,0.6098218043814423,7.166388830220559,1.0267698946836475e-08
South Africa,2022,59893884,673288991428,404.054,-21.574,11241.364668018525,404054000.0,27.821441361844023,1666334181.639088,35943.500805513955,0.6001197184926922,6.746164600044973,1.001971617824438e-08
Sri Lanka,1950,7945979,15043594240,1.627,,1893.2335763786941,1627000.0,1163.6346505093388,9246216496.619545,859.3762651896678,0.10815234537992963,0.2047576516373879,1.3610952832864223e-08
Sri Lanka,1951,8091463,15983182848,1.546,-0.081,1975.3143341321588,1546000.0,1277.6936184554713,10338410639.068563,782.6602446436581,0.09672666669101226,0.19106557120758014,1.1954162886367059e-08
Sri Lanka,1952,8245472,16718630912,1.938,0.392,2027.613569241397,1938000.0,1046.2402318067066,8626744536.635708,955.8034279308337,0.11591858269979374,0.23503809120933283,1.4058453257714505e-08
Sri Lanka,1953,8406914,17044013056,2.066,0.128,2027.3804461423063,2065999.9999999998,981.3070891298676,8249764305.905131,1019.0489919793686,0.1212155842178674,0.24575010521102034,1.4418558845477354e-08
Sri Lanka,1954,8575077,17496870912,1.784,-0.282,2040.4330960526652,1784000.0,1143.740524693198,9807663067.264574,874.3241831605507,0.10196108829816347,0.20804477907312086,1.1890399153052909e-08
Sri Lanka,1955,8749630,18526443520,1.663,-0.121,2117.3973665172125,1663000.0,1273.2395469135372,11140374936.861094,785.3981620537173,0.08976358566633301,0.19006517989903574,1.025912931933499e-08
Sri Lanka,1956,8931093,18645467136,1.418,-0.246,2087.7027185810293,1418000.0,1472.2868255155356,13149130561.354021,679.2154780369242,0.07605065561817845,0.15877116048394077,8.515268581144373e-09
Sri Lanka,1957,9122983,18914553856,2.319,0.901,2073.286101267535,2319000.0,894.0431657039823,8156340601.983614,1118.514226561517,0.12260400206396495,0.25419317343899467,1.3439025597654291e-08
Sri Lanka,1958,9329673,19470209024,1.949,-0.37,2086.912266271283,1949000.0,1070.760526562998,9989845574.140585,933.9156377102076,0.1001016474757698,0.20890335599114782,1.0729384349887698e-08
Sri Lanka,1959,9551289,19741876224,2.055,0.106,2066.9331881801504,2055000.0000000002,1005.8069042239174,9606752420.437956,994.2266212336274,0.10409344971486334,0.21515420588781264,1.0898366672274637e-08
Sri Lanka,1960,9783874,20461441024,2.257,0.202,2091.343472330081,2257000.0,926.6032221223221,9065769173.238811,1079.2105791619929,0.11030503654912081,0.23068571815213482,1.1274167732446351e-08
Sri Lanka,1961,10022896,20890710016,2.334,0.077,2084.298791087925,2334000.0,893.0157631053663,8950604119.965723,1119.8010621028766,0.11172430224786095,0.23286682811035853,1.1146908263625698e-08
Sri Lanka,1962,10267069,21631954944,2.561,0.227,2106.926031567529,2561000.0,822.6966152157474,8446682914.486529,1215.5149073243188,0.11838966966369066,0.24943827688311046,1.153100945008655e-08
Sri Lanka,1963,10517538,22093111296,2.532,-0.029,2100.597240152591,2532000.0,829.6197630934404,8725557383.886255,1205.3714779783636,0.11460585908777925,0.2407407513051058,1.0896643215149709e-08
Sri Lanka,1964,10774088,23134775296,2.271,-0.26,2147.2606587211835,2271000.0,945.5132799300676,10187043283.135183,1057.6266047516142,0.09816390999884297,0.21078350204676258,9.111110842870689e-09
Sri Lanka,1965,11035228,23850108928,2.656,0.385,2161.270154816919,2656000.0,813.7312329882977,8979709686.746988,1228.9069897534348,0.11136217482352288,0.2406837448215841,1.0091515537651137e-08
Sri Lanka,1966,11299725,23609036800,2.66,0.004,2089.346138954709,2660000.0,785.468473291244,8875577744.3609,1273.1255728315014,0.1126687218345138,0.23540395894590355,9.970926003465908e-09
Sri Lanka,1967,11571012,25750589440,2.945,0.285,2225.439697063662,2945000.0,755.6671297329923,8743833426.146011,1323.3339927771378,0.1143663140939736,0.2545153353915803,9.88386444452513e-09
